Method, Sigma, Score, CL0, CL1
lev, 1410, 0.52, 60, 40
lev, 600, 0.59, 43, 57
lev, 850, 0.56, 54, 46
lev, 1100, 0.54, 50, 50
lev, 1610, 0.55, 55, 45
lev, 1930, 0.6, 48, 52
lev, 820, 0.52, 32, 68
lev, 1720, 0.51, 45, 55
lev, 340, 0.59, 51, 49
lev, 1900, 0.52, 34, 66
lev, 950, 0.52, 42, 58
lev, 690, 0.56, 62, 38
lev, 520, 0.55, 89, 11
lev, 1650, 0.52, 40, 60
lev, 860, 0.53, 79, 21
lev, 30, 1.0, 50, 50
lev, 1660, 0.52, 60, 40
lev, 1450, 0.53, 67, 33
lev, 150, 0.53, 39, 61
lev, 490, 0.5, 38, 62
lev, 1110, 0.58, 34, 66
lev, 230, 0.53, 49, 51
lev, 330, 0.56, 50, 50
lev, 1150, 0.59, 59, 41
lev, 120, 0.51, 55, 45
lev, 1430, 0.57, 41, 59
lev, 1190, 0.53, 65, 35
lev, 760, 0.55, 49, 51
lev, 900, 0.52, 50, 50
lev, 1330, 0.51, 55, 45
lev, 390, 0.54, 50, 50
lev, 1520, 0.51, 51, 49
lev, 1400, 0.52, 58, 42
lev, 1870, 0.5, 56, 44
lev, 60, 1.0, 50, 50
lev, 580, 0.55, 23, 77
lev, 420, 0.51, 57, 43
lev, 1090, 0.54, 66, 34
lev, 400, 0.55, 55, 45
lev, 960, 0.52, 38, 62
lev, 1790, 0.51, 39, 61
lev, 660, 0.57, 15, 85
lev, 1490, 0.54, 58, 42
lev, 1550, 0.54, 48, 52
lev, 1360, 0.66, 64, 36
lev, 1760, 0.59, 47, 53
lev, 70, 0.9, 60, 40
lev, 1690, 0.51, 43, 57
lev, 1220, 0.51, 39, 61
lev, 1300, 0.52, 68, 32
lev, 270, 0.63, 51, 49
lev, 930, 0.52, 70, 30
lev, 1510, 0.56, 38, 62
lev, 1630, 0.58, 40, 60
lev, 1000, 0.61, 65, 35
lev, 1740, 0.55, 43, 57
lev, 570, 0.53, 49, 51
lev, 290, 0.52, 54, 46
lev, 1240, 0.55, 63, 37
lev, 1840, 0.56, 60, 40
lev, 1640, 0.56, 54, 46
lev, 620, 0.55, 67, 33
lev, 1440, 0.55, 61, 39
lev, 1010, 0.56, 48, 52
lev, 560, 0.67, 31, 69
lev, 1950, 0.53, 39, 61
lev, 1020, 0.5, 36, 64
lev, 1620, 0.51, 37, 63
lev, 1260, 0.57, 51, 49
lev, 430, 0.55, 53, 47
lev, 450, 0.54, 50, 50
lev, 460, 0.54, 56, 44
lev, 40, 1.0, 50, 50
lev, 1050, 0.52, 56, 44
lev, 1560, 0.54, 58, 42
lev, 1340, 0.51, 49, 51
lev, 650, 0.55, 21, 79
lev, 1200, 0.53, 37, 63
lev, 700, 0.51, 57, 43
lev, 1470, 0.52, 48, 52
lev, 1990, 0.58, 52, 48
lev, 940, 0.55, 27, 73
lev, 890, 0.54, 72, 28
lev, 1460, 0.56, 58, 42
lev, 0, 1.0, 50, 50
lev, 1070, 0.57, 53, 47
lev, 530, 0.5, 46, 54
lev, 360, 0.51, 45, 55
lev, 800, 0.54, 40, 60
lev, 1320, 0.53, 25, 75
lev, 1130, 0.5, 48, 52
lev, 610, 0.57, 23, 77
lev, 170, 0.5, 56, 44
lev, 1940, 0.56, 44, 56
lev, 130, 0.55, 53, 47
lev, 1030, 0.56, 60, 40
lev, 550, 0.53, 27, 73
lev, 1270, 0.55, 57, 43
lev, 1920, 0.51, 39, 61
lev, 20, 1.0, 50, 50
lev, 740, 0.56, 34, 66
lev, 970, 0.56, 38, 62
lev, 750, 0.51, 73, 27
lev, 840, 0.54, 38, 62
lev, 1280, 0.5, 50, 50
lev, 1700, 0.57, 51, 49
lev, 880, 0.51, 43, 57
lev, 1880, 0.56, 38, 62
lev, 790, 0.53, 41, 59
lev, 1080, 0.51, 33, 67
lev, 710, 0.51, 25, 75
lev, 250, 0.59, 51, 49
lev, 1530, 0.52, 34, 66
lev, 280, 0.54, 44, 56
lev, 1730, 0.51, 35, 65
lev, 640, 0.64, 68, 32
lev, 1570, 0.56, 36, 64
lev, 310, 0.53, 57, 43
lev, 380, 0.53, 49, 51
lev, 670, 0.56, 70, 30
lev, 470, 0.54, 48, 52
lev, 1600, 0.52, 56, 44
lev, 210, 0.57, 47, 53
lev, 1710, 0.58, 40, 60
lev, 10, 1.0, 50, 50
lev, 680, 0.57, 29, 71
lev, 1210, 0.52, 50, 50
lev, 720, 0.59, 35, 65
lev, 1780, 0.51, 39, 61
lev, 1970, 0.5, 50, 50
lev, 1230, 0.52, 30, 70
lev, 1820, 0.58, 50, 50
lev, 540, 0.5, 18, 82
lev, 1680, 0.51, 59, 41
lev, 980, 0.52, 84, 16
lev, 910, 0.55, 59, 41
lev, 110, 0.58, 44, 56
lev, 590, 0.56, 36, 64
lev, 220, 0.52, 52, 48
lev, 1860, 0.53, 35, 65
lev, 1310, 0.57, 43, 57
lev, 500, 0.58, 56, 44
lev, 1810, 0.55, 49, 51
lev, 140, 0.5, 48, 52
lev, 1060, 0.53, 31, 69
lev, 1830, 0.51, 41, 59
lev, 180, 0.5, 54, 46
lev, 200, 0.56, 46, 54
lev, 1120, 0.55, 37, 63
lev, 1670, 0.53, 39, 61
lev, 1250, 0.5, 68, 32
lev, 1380, 0.54, 58, 42
lev, 1850, 0.51, 57, 43
lev, 780, 0.51, 41, 59
lev, 100, 0.56, 54, 46
lev, 240, 0.58, 50, 50
lev, 1180, 0.5, 66, 34
lev, 1910, 0.53, 49, 51
lev, 1370, 0.56, 64, 36
lev, 160, 0.52, 46, 54
lev, 510, 0.51, 43, 57
lev, 870, 0.56, 70, 30
lev, 1800, 0.55, 35, 65
lev, 440, 0.55, 45, 55
lev, 300, 0.56, 50, 50
lev, 370, 0.55, 51, 49
lev, 350, 0.54, 48, 52
lev, 630, 0.52, 22, 78
lev, 990, 0.55, 55, 45
lev, 1350, 0.58, 40, 60
lev, 320, 0.54, 54, 46
lev, 730, 0.54, 30, 70
lev, 50, 1.0, 50, 50
lev, 830, 0.55, 39, 61
lev, 1540, 0.51, 33, 67
lev, 1420, 0.5, 64, 36
lev, 810, 0.61, 41, 59
lev, 1580, 0.5, 58, 42
lev, 1390, 0.55, 29, 71
lev, 480, 0.53, 57, 43
lev, 920, 0.53, 65, 35
lev, 190, 0.53, 45, 55
lev, 1590, 0.54, 46, 54
lev, 770, 0.56, 38, 62
lev, 1140, 0.52, 30, 70
lev, 1750, 0.52, 64, 36
lev, 80, 0.56, 54, 46
lev, 90, 0.56, 48, 52
lev, 1170, 0.52, 48, 52
lev, 1980, 0.53, 45, 55
lev, 1160, 0.51, 55, 45
lev, 1290, 0.56, 30, 70
lev, 1040, 0.53, 61, 39
lev, 260, 0.53, 55, 45
lev, 1770, 0.57, 49, 51
lev, 1480, 0.62, 44, 56
lev, 410, 0.5, 52, 48
lev, 1500, 0.53, 59, 41
lev, 1960, 0.52, 68, 32
lev, 1890, 0.53, 53, 47
