Method, Sigma, Score, CL0, CL1
enl-wh, 1410, 0.62, 80, 20
enl-nw, 1410, 0.58, 70, 30
enl-wh, 600, 0.74, 38, 62
enl-nw, 600, 0.76, 40, 60
enl-wh, 850, 0.68, 70, 30
enl-nw, 850, 0.67, 29, 71
enl-wh, 1100, 0.67, 65, 35
enl-nw, 1100, 0.7, 36, 64
enl-wh, 1610, 0.59, 25, 75
enl-nw, 1610, 0.58, 64, 36
enl-wh, 1930, 0.53, 29, 71
enl-nw, 1930, 0.55, 69, 31
enl-wh, 820, 0.72, 46, 54
enl-nw, 820, 0.74, 62, 38
enl-wh, 1720, 0.54, 64, 36
enl-nw, 1720, 0.56, 38, 62
enl-wh, 340, 0.96, 50, 50
enl-nw, 340, 0.99, 49, 51
enl-wh, 1900, 0.53, 29, 71
enl-nw, 1900, 0.52, 26, 74
enl-wh, 950, 0.67, 41, 59
enl-nw, 950, 0.65, 71, 29
enl-wh, 690, 0.74, 62, 38
enl-nw, 690, 0.79, 39, 61
enl-wh, 520, 0.83, 61, 39
enl-nw, 520, 0.84, 40, 60
enl-wh, 1650, 0.64, 58, 42
enl-nw, 1650, 0.68, 42, 58
enl-wh, 860, 0.66, 34, 66
enl-nw, 860, 0.66, 64, 36
enl-wh, 30, 1.0, 50, 50
enl-nw, 30, 1.0, 50, 50
enl-wh, 1660, 0.72, 50, 50
enl-nw, 1660, 0.68, 54, 46
enl-wh, 1450, 0.66, 58, 42
enl-nw, 1450, 0.73, 53, 47
enl-wh, 150, 1.0, 50, 50
enl-nw, 150, 1.0, 50, 50
enl-wh, 490, 0.87, 55, 45
enl-nw, 490, 0.89, 43, 57
enl-wh, 1110, 0.69, 67, 33
enl-nw, 1110, 0.71, 37, 63
enl-wh, 230, 0.98, 48, 52
enl-nw, 230, 1.0, 50, 50
enl-wh, 330, 0.97, 51, 49
enl-nw, 330, 0.98, 50, 50
enl-wh, 1150, 0.65, 59, 41
enl-nw, 1150, 0.66, 30, 70
enl-wh, 120, 1.0, 50, 50
enl-nw, 120, 1.0, 50, 50
enl-wh, 1430, 0.52, 36, 64
enl-nw, 1430, 0.61, 33, 67
enl-wh, 1190, 0.61, 53, 47
enl-nw, 1190, 0.63, 39, 61
enl-wh, 760, 0.72, 32, 68
enl-nw, 760, 0.77, 63, 37
enl-wh, 900, 0.76, 62, 38
enl-nw, 900, 0.76, 64, 36
enl-wh, 1330, 0.58, 36, 64
enl-nw, 1330, 0.61, 75, 25
enl-wh, 390, 0.97, 49, 51
enl-nw, 390, 0.97, 51, 49
enl-wh, 1520, 0.57, 35, 65
enl-nw, 1520, 0.63, 57, 43
enl-wh, 1400, 0.56, 40, 60
enl-nw, 1400, 0.56, 40, 60
enl-wh, 1870, 0.51, 63, 37
enl-nw, 1870, 0.59, 57, 43
enl-wh, 60, 1.0, 50, 50
enl-nw, 60, 1.0, 50, 50
enl-wh, 580, 0.83, 45, 55
enl-nw, 580, 0.86, 48, 52
enl-wh, 420, 0.87, 57, 43
enl-nw, 420, 0.9, 42, 58
enl-wh, 1090, 0.55, 65, 35
enl-nw, 1090, 0.58, 66, 34
enl-wh, 400, 0.98, 50, 50
enl-nw, 400, 0.99, 49, 51
