0, 0.000000, 7, 14
0, 0.000000, 475, 0
0, 233.457032, 564, 25
0, 276.935529, 955, 318
0, 875.077760, 0, 109
0, 691.916134, 336, 960
0, 0.000000, 508, 755
0, 379.404053, 384, 0
0, 1490.765141, 911, 475
0, 1448.974768, 7, 443
0, 2247.488596, 324, 960
0, 1865.721174, 475, 960
1, 0.000000, 448, 960
1, 0.000000, 0, 960
1, 0.000000, 1048, 960
1, 361.897724, 1086, 960
1, 0.000000, 274, 717
1, 1323.813311, 171, 389
1, 1019.230971, 746, 0
1, 424.563119, 408, 273
1, 336.894960, 759, 0
1, 1210.532777, 491, 652
1, 2927.736912, 0, 756
1, 3003.844694, 50, 199
2, 0.000000, 663, 960
2, 165.363531, 115, 791
2, 0.000000, 839, 22
2, 496.624974, 1280, 960
2, 316.456168, 128, 340
2, 225.932238, 0, 783
2, 1087.206534, 214, 536
2, 263.402885, 726, 36
2, 901.882656, 978, 116
2, 136.311423, 611, 0
2, 952.559976, 703, 701
2, 760.998683, 382, 960
2, 2894.805149, 0, 960
3, 0.000000, 138, 514
3, 0.000000, 0, 960
3, 215.159153, 911, 696
3, 11.377182, 301, 797
3, 106.914010, 375, 487
3, 721.590001, 0, 960
3, 860.496545, 13, 559
3, 788.623436, 923, 0
3, 545.790442, 439, 954
3, 0.000000, 882, 960
3, 667.893242, 1280, 237
3, 1035.055696, 191, 0
3, 2353.450338, 0, 506
4, 0.000000, 1138, 202
4, 101.470444, 325, 958
4, 0.000000, 947, 370
4, 0.000000, 889, 269
4, 37.864164, 202, 271
4, 0.000000, 12, 0
4, 762.784545, 499, 732
4, 1385.377956, 178, 225
4, 765.257988, 1136, 67
4, 455.830128, 1280, 0
4, 987.215200, 1280, 960
4, 2112.330822, 530, 642
4, 2330.747292, 122, 381
5, 0.000000, 1178, 632
5, 177.590020, 1280, 960
5, 212.178891, 470, 798
5, 0.000000, 545, 187
5, 1266.690579, 911, 721
5, 0.000000, 1119, 344
5, 1447.439397, 1280, 0
5, 653.850103, 1280, 8
5, 1754.023409, 0, 452
6, 820.810166, 519, 903
6, 151.890728, 1280, 701
6, 746.922882, 403, 960
6, 280.791487, 0, 960
6, 920.606563, 0, 233
6, 601.262689, 1142, 0
6, 357.045915, 1280, 0
6, 1135.522342, 557, 960
6, 1528.228537, 485, 960
6, 3327.196193, 0, 0
7, 692.635530, 0, 324
7, 29.056453, 953, 668
7, 689.003409, 526, 830
7, 517.423220, 1280, 960
7, 0.000000, 801, 0
7, 544.902350, 1280, 960
7, 421.135635, 137, 525
7, 666.388137, 834, 29
7, 747.707519, 817, 960
7, 1972.520218, 0, 147
8, 0.000000, 125, 433
8, 225.374238, 0, 156
8, 778.701347, 564, 960
8, 286.267485, 0, 960
8, 0.000000, 1171, 889
8, 206.363376, 0, 960
8, 159.445052, 1280, 832
8, 1666.565331, 150, 0
8, 1160.277420, 0, 158
8, 2987.055753, 0, 398
9, 448.819627, 489, 0
9, 821.256482, 1280, 825
9, 401.214811, 999, 960
9, 1044.777162, 1200, 177
9, 707.311557, 1280, 553
9, 1369.361260, 1125, 96
9, 946.370555, 603, 264
9, 792.955072, 1161, 219
9, 3003.587600, 297, 802
10, 0.000000, 1068, 960
10, 0.000000, 0, 501
10, 663.811033, 1280, 960
10, 151.241672, 783, 308
10, 825.003144, 331, 549
10, 458.548149, 0, 373
10, 205.260360, 0, 855
10, 1140.691669, 1024, 0
10, 1880.217776, 419, 960
11, 0.000000, 0, 717
11, 0.000000, 697, 69
11, 223.618011, 1280, 561
11, 0.000000, 1047, 960
11, 508.341837, 0, 960
11, 0.000000, 1172, 206
11, 49.559939, 558, 154
11, 798.034155, 848, 0
11, 133.507189, 995, 48
11, 1730.129357, 0, 519
11, 2425.641374, 295, 960
12, 417.943094, 195, 678
12, 1139.170566, 88, 486
12, 0.000000, 179, 960
12, 0.000000, 350, 315
12, 0.000000, 375, 183
12, 1061.314574, 537, 960
12, 612.413574, 0, 580
12, 1046.641277, 422, 929
12, 238.508807, 764, 200
12, 486.939896, 0, 873
12, 2135.679631, 859, 491
12, 2155.057339, 964, 278
12, 2486.384102, 262, 624
13, 480.169200, 500, 630
13, 360.861281, 446, 960
13, 750.228302, 634, 850
13, 222.582321, 1280, 781
13, 0.000000, 773, 903
13, 229.898934, 476, 518
13, 560.756920, 894, 490
13, 882.704288, 1166, 793
13, 1257.058944, 1253, 704
13, 645.412284, 995, 960
13, 906.933875, 820, 764
13, 2015.551333, 1054, 960
13, 2231.681139, 159, 960
