0 , scm , 1.0 , 0.0 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 1.0 , 0.0 , scm::scm , 0.0 , 0.0 , scm::enl-wh , 0.0 , 0.0 , scm::enl-nw , 0.0 , 0.0 , scm::lev , 0.0 , 0.0 , enl-wh::scm , 0.0 , 0.0 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.0 , 0.0 , enl-nw::scm , 0.0 , 0.0 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.0 , 0.0 , lev::scm , 0.0 , 0.0 , lev::enl-wh , 0.0 , 0.0 , lev::enl-nw , 0.0 , 0.0 , lev::lev , 0.0 , 0.0
10 , scm , 0.998666666667 , 0.000877707451473 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 1.0 , 0.0 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.00133333333333 , 0.000877707451473 , scm::enl-nw , -0.00133333333333 , 0.000877707451473 , scm::lev , -0.00133333333333 , 0.000877707451473 , enl-wh::scm , 0.00133333333333 , 0.000877707451473 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.0 , 0.0 , enl-nw::scm , 0.00133333333333 , 0.000877707451473 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.0 , 0.0 , lev::scm , 0.00133333333333 , 0.000877707451473 , lev::enl-wh , 0.0 , 0.0 , lev::enl-nw , 0.0 , 0.0 , lev::lev , 0.0 , 0.0
20 , scm , 1.0 , 0.0 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 1.0 , 0.0 , scm::scm , 0.0 , 0.0 , scm::enl-wh , 0.0 , 0.0 , scm::enl-nw , 0.0 , 0.0 , scm::lev , 0.0 , 0.0 , enl-wh::scm , 0.0 , 0.0 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.0 , 0.0 , enl-nw::scm , 0.0 , 0.0 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.0 , 0.0 , lev::scm , 0.0 , 0.0 , lev::enl-wh , 0.0 , 0.0 , lev::enl-nw , 0.0 , 0.0 , lev::lev , 0.0 , 0.0
30 , scm , 0.998 , 0.00103279555899 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 1.0 , 0.0 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.002 , 0.00103279555899 , scm::enl-nw , -0.002 , 0.00103279555899 , scm::lev , -0.002 , 0.00103279555899 , enl-wh::scm , 0.002 , 0.00103279555899 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.0 , 0.0 , enl-nw::scm , 0.002 , 0.00103279555899 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.0 , 0.0 , lev::scm , 0.002 , 0.00103279555899 , lev::enl-wh , 0.0 , 0.0 , lev::enl-nw , 0.0 , 0.0 , lev::lev , 0.0 , 0.0
40 , scm , 0.998 , 0.00103279555899 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 1.0 , 0.0 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.002 , 0.00103279555899 , scm::enl-nw , -0.002 , 0.00103279555899 , scm::lev , -0.002 , 0.00103279555899 , enl-wh::scm , 0.002 , 0.00103279555899 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.0 , 0.0 , enl-nw::scm , 0.002 , 0.00103279555899 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.0 , 0.0 , lev::scm , 0.002 , 0.00103279555899 , lev::enl-wh , 0.0 , 0.0 , lev::enl-nw , 0.0 , 0.0 , lev::lev , 0.0 , 0.0
50 , scm , 0.998666666667 , 0.000877707451473 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 0.966 , 0.0238290205888 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.00133333333333 , 0.000877707451473 , scm::enl-nw , -0.00133333333333 , 0.000877707451473 , scm::lev , 0.0326666666667 , 0.0239715881209 , enl-wh::scm , 0.00133333333333 , 0.000877707451473 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.034 , 0.0238290205888 , enl-nw::scm , 0.00133333333333 , 0.000877707451473 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.034 , 0.0238290205888 , lev::scm , -0.0326666666667 , 0.0239715881209 , lev::enl-wh , -0.034 , 0.0238290205888 , lev::enl-nw , -0.034 , 0.0238290205888 , lev::lev , 0.0 , 0.0
60 , scm , 0.992 , 0.00269979423084 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 0.936666666667 , 0.037602206397 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.008 , 0.00269979423084 , scm::enl-nw , -0.008 , 0.00269979423084 , scm::lev , 0.0553333333333 , 0.0374624750522 , enl-wh::scm , 0.008 , 0.00269979423084 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.0633333333333 , 0.037602206397 , enl-nw::scm , 0.008 , 0.00269979423084 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.0633333333333 , 0.037602206397 , lev::scm , -0.0553333333333 , 0.0374624750522 , lev::enl-wh , -0.0633333333333 , 0.037602206397 , lev::enl-nw , -0.0633333333333 , 0.037602206397 , lev::lev , 0.0 , 0.0
70 , scm , 0.997333333333 , 0.00114179845144 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 0.764666666667 , 0.0394164846132 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.00266666666667 , 0.00114179845144 , scm::enl-nw , -0.00266666666667 , 0.00114179845144 , scm::lev , 0.232666666667 , 0.0394457902744 , enl-wh::scm , 0.00266666666667 , 0.00114179845144 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.235333333333 , 0.0394164846132 , enl-nw::scm , 0.00266666666667 , 0.00114179845144 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.235333333333 , 0.0394164846132 , lev::scm , -0.232666666667 , 0.0394457902744 , lev::enl-wh , -0.235333333333 , 0.0394164846132 , lev::enl-nw , -0.235333333333 , 0.0394164846132 , lev::lev , 0.0 , 0.0
80 , scm , 0.992 , 0.00214993539955 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 0.662 , 0.0387608049452 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.008 , 0.00214993539955 , scm::enl-nw , -0.008 , 0.00214993539955 , scm::lev , 0.33 , 0.0387355707902 , enl-wh::scm , 0.008 , 0.00214993539955 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.338 , 0.0387608049452 , enl-nw::scm , 0.008 , 0.00214993539955 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.338 , 0.0387608049452 , lev::scm , -0.33 , 0.0387355707902 , lev::enl-wh , -0.338 , 0.0387608049452 , lev::enl-nw , -0.338 , 0.0387608049452 , lev::lev , 0.0 , 0.0
90 , scm , 0.987333333333 , 0.00220437275869 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 0.571333333333 , 0.0139798797218 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.0126666666667 , 0.00220437275869 , scm::enl-nw , -0.0126666666667 , 0.00220437275869 , scm::lev , 0.416 , 0.0143232522688 , enl-wh::scm , 0.0126666666667 , 0.00220437275869 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.428666666667 , 0.0139798797218 , enl-nw::scm , 0.0126666666667 , 0.00220437275869 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.428666666667 , 0.0139798797218 , lev::scm , -0.416 , 0.0143232522688 , lev::enl-wh , -0.428666666667 , 0.0139798797218 , lev::enl-nw , -0.428666666667 , 0.0139798797218 , lev::lev , 0.0 , 0.0
100 , scm , 0.992 , 0.00234757558155 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 0.589333333333 , 0.0176248982135 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.008 , 0.00234757558155 , scm::enl-nw , -0.008 , 0.00234757558155 , scm::lev , 0.402666666667 , 0.0169303584438 , enl-wh::scm , 0.008 , 0.00234757558155 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.410666666667 , 0.0176248982135 , enl-nw::scm , 0.008 , 0.00234757558155 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.410666666667 , 0.0176248982135 , lev::scm , -0.402666666667 , 0.0169303584438 , lev::enl-wh , -0.410666666667 , 0.0176248982135 , lev::enl-nw , -0.410666666667 , 0.0176248982135 , lev::lev , 0.0 , 0.0
